2025-06-14 00:54:48,790 - INFO - Found cointegrated pair: FARMUSDT-RAYUSDT, p-value=0.0000
2025-06-14 00:54:48,914 - INFO - Found cointegrated pair: TRUMPUSDT-DASHUSDT, p-value=0.0000
2025-06-14 00:54:49,022 - INFO - Found cointegrated pair: TRUMPUSDT-ENSUSDT, p-value=0.0155
2025-06-14 00:54:49,132 - INFO - Found cointegrated pair: TRUMPUSDT-LINKUSDT, p-value=0.0001
2025-06-14 00:54:49,228 - INFO - Found cointegrated pair: TRUMPUSDT-ORDIUSDT, p-value=0.0003
2025-06-14 00:54:49,336 - INFO - Found cointegrated pair: TRUMPUSDT-INJUSDT, p-value=0.0109
2025-06-14 00:54:49,446 - INFO - Found cointegrated pair: TRUMPUSDT-ILVUSDT, p-value=0.0001
2025-06-14 00:54:49,557 - INFO - Found cointegrated pair: TRUMPUSDT-ETCUSDT, p-value=0.0001
2025-06-14 00:54:49,656 - INFO - Found cointegrated pair: TRUMPUSDT-SSVUSDT, p-value=0.0120
2025-06-14 00:54:49,771 - INFO - Found cointegrated pair: TRUMPUSDT-ZENUSDT, p-value=0.0000
2025-06-14 00:54:49,889 - INFO - Found cointegrated pair: TRUMPUSDT-UNIUSDT, p-value=0.0134
2025-06-14 00:54:49,992 - INFO - Found cointegrated pair: TRUMPUSDT-MOVRUSDT, p-value=0.0018
2025-06-14 00:54:50,122 - INFO - Found cointegrated pair: TRUMPUSDT-NMRUSDT, p-value=0.0012
2025-06-14 00:54:50,238 - INFO - Found cointegrated pair: TRUMPUSDT-ARUSDT, p-value=0.0000
2025-06-14 00:54:50,341 - INFO - Found cointegrated pair: TRUMPUSDT-ALCXUSDT, p-value=0.0020
2025-06-14 00:54:50,431 - INFO - Found cointegrated pair: TRUMPUSDT-RENDERUSDT, p-value=0.0190
2025-06-14 00:54:50,540 - INFO - Found cointegrated pair: TRUMPUSDT-RAYUSDT, p-value=0.0051
2025-06-14 00:54:52,430 - INFO - Found cointegrated pair: DASHUSDT-ENSUSDT, p-value=0.0237
2025-06-14 00:54:59,730 - INFO - Found cointegrated pair: DASHUSDT-ILVUSDT, p-value=0.0001
2025-06-14 00:55:02,271 - INFO - Found cointegrated pair: DASHUSDT-ETCUSDT, p-value=0.0014
2025-06-14 00:55:06,931 - INFO - Found cointegrated pair: DASHUSDT-ZENUSDT, p-value=0.0001
2025-06-14 00:55:10,415 - INFO - Found cointegrated pair: DASHUSDT-UNIUSDT, p-value=0.0000
2025-06-14 00:55:12,229 - INFO - Found cointegrated pair: DASHUSDT-MOVRUSDT, p-value=0.0095
2025-06-14 00:55:14,700 - INFO - Found cointegrated pair: DASHUSDT-NMRUSDT, p-value=0.0001
2025-06-14 00:55:16,935 - INFO - Found cointegrated pair: DASHUSDT-ARUSDT, p-value=0.0032
2025-06-14 00:55:18,766 - INFO - Found cointegrated pair: DASHUSDT-ALCXUSDT, p-value=0.0002
2025-06-14 00:55:19,021 - INFO - Found cointegrated pair: DASHUSDT-RENDERUSDT, p-value=0.0134
2025-06-14 00:55:21,301 - INFO - Found cointegrated pair: DASHUSDT-RAYUSDT, p-value=0.0096
2025-06-14 00:55:23,328 - INFO - Found cointegrated pair: ENSUSDT-LINKUSDT, p-value=0.0015
2025-06-14 00:55:29,616 - INFO - Found cointegrated pair: ENSUSDT-ETCUSDT, p-value=0.0062
2025-06-14 00:55:33,543 - INFO - Found cointegrated pair: ENSUSDT-ZENUSDT, p-value=0.0044
2025-06-14 00:55:36,368 - INFO - Found cointegrated pair: ENSUSDT-UNIUSDT, p-value=0.0000
2025-06-14 00:55:38,290 - INFO - Found cointegrated pair: ENSUSDT-MOVRUSDT, p-value=0.0002
2025-06-14 00:55:43,793 - INFO - Found cointegrated pair: ENSUSDT-ALCXUSDT, p-value=0.0077
2025-06-14 00:55:45,874 - INFO - Found cointegrated pair: ENSUSDT-RAYUSDT, p-value=0.0000
